"seed","model","rmse","crps","time"
1,"Stationary GP",0.004252317402653,0.00150107462034035,13.258
1,"DGP (D=1)",0.362583300870447,0.183910373813517,28.396
1,"DGP (D=d)",0.00865884585437703,0.00246393128794003,30.475
2,"Stationary GP",0.00164138124647445,0.00114334603177491,13.033
2,"DGP (D=1)",0.110455518176137,0.0562708771887713,27.735
2,"DGP (D=d)",0.00183096299790912,0.00125222480491142,29.328
3,"Stationary GP",0.00985470763769665,0.00270480841795821,13.204
3,"DGP (D=1)",0.0275184782963002,0.00737356947695465,27.904
3,"DGP (D=d)",0.0269364557991,0.00753913229979098,30.208
4,"Stationary GP",0.00621861421875166,0.00189192983053247,12.983
4,"DGP (D=1)",0.0201747276246321,0.00866976236726517,27.89
4,"DGP (D=d)",0.00711492885352643,0.00204791509887542,28.98
5,"Stationary GP",0.00189624315849341,0.00105412246203245,12.657
5,"DGP (D=1)",0.311008690581495,0.160995347747011,28.542
5,"DGP (D=d)",0.00241743517388308,0.00106216576256178,28.908
6,"Stationary GP",0.00178147976785594,0.000860921505099076,12.685
6,"DGP (D=1)",0.194487048171549,0.108451468240825,28.434
6,"DGP (D=d)",0.00316739519130058,0.00113658907697223,29.665
7,"Stationary GP",0.00393601637694364,0.00191639365011719,12.96
7,"DGP (D=1)",0.194890024396663,0.112251694497327,28.157
7,"DGP (D=d)",0.00419490713212913,0.00201232483351695,28.544
8,"Stationary GP",0.00263779153993781,0.00125696112065432,13.218
8,"DGP (D=1)",0.107232175565472,0.0591974145204634,28.266
8,"DGP (D=d)",0.00416496901701822,0.00149101199882222,29.946
9,"Stationary GP",0.0035766110859653,0.00174780808889598,13.098
9,"DGP (D=1)",0.0469734249484009,0.0260729785475365,27.93
9,"DGP (D=d)",0.00371861964415162,0.00172067947658072,29.195
10,"Stationary GP",0.00769188630606008,0.00236402335332358,12.989
10,"DGP (D=1)",0.257557070568664,0.143619801408724,27.766
10,"DGP (D=d)",0.0113839320044614,0.0028454217871076,29.382
11,"Stationary GP",0.0090601449574742,0.0030936669627379,13.119
11,"DGP (D=1)",0.0245625359396392,0.00955422681380491,27.805
11,"DGP (D=d)",0.0100669266632656,0.00290362902052511,28.377
12,"Stationary GP",0.00282763633111714,0.001348853705372,13.589
12,"DGP (D=1)",0.0660823359144223,0.0376662333983407,22.414
12,"DGP (D=d)",0.00686504379007822,0.00283854512223845,27.494
13,"Stationary GP",0.00435461679957764,0.00172394191049878,13.538
13,"DGP (D=1)",0.370210926187796,0.231324216547042,23.095
13,"DGP (D=d)",0.00815632587909178,0.00252058221635588,26.064
14,"Stationary GP",0.00239474235148658,0.00181192494063535,13.24
14,"DGP (D=1)",0.0092949759432173,0.00432753494999311,22.64
14,"DGP (D=d)",0.00388136617628047,0.00179714861602492,25.29
15,"Stationary GP",0.00393880498842897,0.0013754448346439,12.888
15,"DGP (D=1)",0.0283112376513869,0.0146535165680031,23.345
15,"DGP (D=d)",0.00801497674099694,0.00259520246638684,25.21
16,"Stationary GP",0.0023685258254856,0.00138306368483653,13.162
16,"DGP (D=1)",0.345707128461827,0.211369955957087,23.064
16,"DGP (D=d)",0.00356194844999767,0.00124293972348733,26.212
17,"Stationary GP",0.00110866062184511,0.00111331797063831,13.373
17,"DGP (D=1)",0.188613609010289,0.118161052751301,23.608
17,"DGP (D=d)",0.00330551374736507,0.00144367130702052,27.413
18,"Stationary GP",0.0012838451010765,0.000815601649328563,13.272
18,"DGP (D=1)",0.208749232539763,0.105511792799757,23.157
18,"DGP (D=d)",0.00126506172966318,0.000798309605459007,25.951
19,"Stationary GP",0.00966654965061677,0.00282554424931212,12.936
19,"DGP (D=1)",0.218747755444295,0.131823484986944,22.434
19,"DGP (D=d)",0.019662506788819,0.0049137576753428,25.627
20,"Stationary GP",0.0150174288509605,0.00403050880105361,12.67
20,"DGP (D=1)",0.257156813578493,0.135503077836096,23.756
20,"DGP (D=d)",0.0288258157294263,0.00713856915377801,27.192
21,"Stationary GP",0.00211266147168435,0.00118279251032255,12.826
21,"DGP (D=1)",0.366771769344023,0.156977354388375,23.291
21,"DGP (D=d)",0.00542390535734734,0.00235818765782651,27.743
22,"Stationary GP",0.00194576571811185,0.00167042164364593,12.723
22,"DGP (D=1)",0.306627260790338,0.198885430610285,22.946
22,"DGP (D=d)",0.00586826540902682,0.0022735640484308,26.878
23,"Stationary GP",0.00417175195076849,0.00152446577854026,10.461
23,"DGP (D=1)",0.197428710374658,0.10379692812905,16.997
23,"DGP (D=d)",0.00693886681764307,0.0017982565160775,19.357
24,"Stationary GP",0.0038204869169062,0.00135543259405903,10.022
24,"DGP (D=1)",0.328610401283713,0.196199481926155,16.904
24,"DGP (D=d)",0.00518392685279948,0.00151006689941589,18.427
25,"Stationary GP",0.0094230913446358,0.00274893781108969,10.308
25,"DGP (D=1)",0.127021664491657,0.0779704267466719,17.575
25,"DGP (D=d)",0.016723486440844,0.00444520145134646,19.525
26,"Stationary GP",0.00147407235341723,0.00105206252816404,10.059
26,"DGP (D=1)",0.195119639092793,0.0902006039881758,17.403
26,"DGP (D=d)",0.00383048922788451,0.00177401255224276,18.975
27,"Stationary GP",0.0112282152709352,0.00285154452598415,10.027
27,"DGP (D=1)",0.428287719983784,0.283083008590014,16.399
27,"DGP (D=d)",0.0218992043061579,0.00541156325906921,17.791
28,"Stationary GP",0.00173774224351194,0.00108584508221566,9.82500000000002
28,"DGP (D=1)",0.0273629715853789,0.0180389472201787,17.778
28,"DGP (D=d)",0.00235870729537886,0.00106784648354777,19.414
29,"Stationary GP",0.00190924117887697,0.000962994050671946,9.97999999999999
29,"DGP (D=1)",0.0155059695064161,0.00702686220953333,17.622
29,"DGP (D=d)",0.00288475943379277,0.00120093913128568,19.154
30,"Stationary GP",0.00507004173472486,0.00239320884103105,9.154
30,"DGP (D=1)",0.0182040430286551,0.00872026396457828,17.447
30,"DGP (D=d)",0.00304275114604624,0.00193246142935781,18.392
